Combination,Number
"Atelectasis, Consolidation, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Atelectasis, Consolidation, Fracture, Lung Opacity, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",14
"Atelectasis, Consolidation, Lung Lesion, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",3
"Atelectasis, Consolidation, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",3
"Atelectasis, Consolidation, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",8
"Atelectasis, Edema, Enlarged Cardiomediastinum, Fracture, Lung Lesion, Lung Opacity",1
"Atelectasis, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",3
"Atelectasis, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia",3
"Atelectasis, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumothorax",1
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumothorax",1
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",124
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",21
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",8
"Atelectasis, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Edema, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",1
"Atelectasis, Edema, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Atelectasis, Edema, Fracture, Lung Opacity, Pleural Other, Pneumonia",1
"Atelectasis, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",1
"Atelectasis, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",21
"Atelectasis, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Atelectasis, Edema, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",6
"Atelectasis, Edema, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",20
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Lesion, Lung Opacity, Pneumonia",2
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Lesion, Pleural Effusion, Pneumothorax",1
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pleural Other",1
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",4
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",9
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Other, Pneumothorax",1
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia, Pneumothorax",1
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",3
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",13
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",3
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia, Pneumothorax",1
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",9
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",3
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",36
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia, Pneumothorax",1
"Atelectasis, Fracture, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",2
"Atelectasis, Fracture, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Fracture, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",2
"Atelectasis, Fracture, Lung Opacity, Pleural Other, Pneumonia, Pneumothorax",1
"Atelectasis, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",2
"Atelectasis, Lung Lesion, Lung Opacity, Pleural Other, Pneumonia, Pneumothorax",1
"Atelectasis, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia, Pneumothorax",2
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",2
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",1
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",2
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",11
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",19
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",17
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",3
"Cardiomegaly, Consolidation, Edema, Fracture, Lung Opacity, Pleural Effusion",1
"Cardiomegaly, Consolidation, Edema, Fracture, Pleural Effusion, Pneumonia",3
"Cardiomegaly, Consolidation, Edema, Fracture, Pneumonia, Pneumothorax",1
"Cardiomegaly, Consolidation, Edema, Lung Lesion, Lung Opacity, Pneumonia",2
"Cardiomegaly, Consolidation, Edema, Lung Lesion, Pleural Effusion, Pneumonia",6
"Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumonia",53
"Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Other, Pneumonia",2
"Cardiomegaly, Consolidation, Edema, Lung Opacity, Pneumonia, Pneumothorax",1
"Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pleural Other, Pneumonia",2
"Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pleural Other, Pneumothorax",2
"Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pneumonia, Pneumothorax",5
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",1
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",2
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",3
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumonia",2
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumothorax",1
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",11
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",6
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia",2
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia, Pneumothorax",6
"Cardiomegaly, Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",5
"Cardiomegaly, Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Cardiomegaly, Consolidation, Lung Lesion, Pleural Effusion, Pleural Other, Pneumonia",1
"Cardiomegaly, Consolidation, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Cardiomegaly, Consolidation, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",2
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pleural Other",2
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumothorax",2
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",4
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",49
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",6
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia, Pneumothorax",1
"Cardiomegaly, Edema, Fracture, Lung Lesion, Lung Opacity, Pneumonia",1
"Cardiomegaly, Edema, Fracture, Lung Lesion, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Edema, Fracture, Lung Lesion, Pleural Effusion, Pneumonia",1
"Cardiomegaly, Edema, Fracture, Lung Opacity, Pleural Effusion, Pleural Other",2
"Cardiomegaly, Edema, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",4
"Cardiomegaly, Edema, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",20
"Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",2
"Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pleural Other, Pneumonia",2
"Cardiomegaly, Edema, Lung Lesion, Pleural Effusion, Pleural Other, Pneumonia",1
"Cardiomegaly, Edema, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",8
"Cardiomegaly, Edema, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",3
"Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",1
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",3
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",2
"Cardiomegaly, Fracture, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",1
"Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",19
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia, Pneumothorax",2
"Consolidation, Edema, Fracture, Pleural Other, Pneumonia, Pneumothorax",1
"Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",10
"Consolidation, Edema, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",2
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",2
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",2
"Consolidation, Fracture, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",1
"Consolidation, Fracture, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",2
"Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",8
"Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pleural Other, Pneumonia",1
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",3
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",6
"Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",2
"Enlarged Cardiomediastinum, Fracture, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",1
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",2
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",1
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Other, Pneumonia, Pneumothorax",1
"Fracture, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",33
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",3
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",13
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",3
"Atelectasis, Cardiomegaly, Consolidation, Edema, Fracture, Lung Lesion, Lung Opacity",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Fracture, Lung Opacity, Pleural Effusion",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Fracture, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Fracture, Pleural Effusion, Pneumonia",2
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion",7
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Lesion, Lung Opacity, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Lesion, Pleural Effusion, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pleural Other",3
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumonia",76
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumothorax",8
"Atelectasis, Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Pleural Effusion, Pneumonia, Pneumothorax",4
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",2
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Other",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",14
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",4
"Atelectasis, Cardiomegaly, Consolidation, Fracture, Lung Lesion, Pleural Effusion, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Fracture, Lung Opacity, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Consolidation, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",3
"Atelectasis, Cardiomegaly, Consolidation, Lung Lesion, Pleural Effusion, Pleural Other, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",3
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",1
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia",1
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",6
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",1
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",37
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",6
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumothorax",1
"Atelectasis, Cardiomegaly, Edema, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",3
"Atelectasis, Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",11
"Atelectasis, Cardiomegaly, Edema, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",4
"Atelectasis, Cardiomegaly, Edema, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",8
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Lesion, Lung Opacity, Pneumonia",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",2
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Other, Pneumonia",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",4
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",5
"Atelectasis, Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumonia",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumothorax",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",30
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia, Pneumothorax",5
"Atelectasis, Consolidation, Edema, Fracture, Lung Lesion, Lung Opacity, Pneumonia",1
"Atelectasis, Consolidation, Edema, Fracture, Lung Lesion, Pleural Effusion, Pneumonia",1
"Atelectasis, Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",8
"Atelectasis, Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Atelectasis, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",3
"Atelectasis, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",4
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pleural Other",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",3
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",4
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Fracture, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",6
"Atelectasis, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",4
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",11
"Atelectasis, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Edema, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia, Pneumothorax",1
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",3
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",1
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia, Pneumothorax",4
"Atelectasis, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia, Pneumothorax",1
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",1
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",3
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",2
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumonia",1
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",1
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",19
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",2
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia",1
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumonia",1
"Cardiomegaly, Consolidation, Edema, Fracture, Pleural Effusion, Pleural Other, Pneumonia",1
"Cardiomegaly, Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",4
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Lesion, Lung Opacity, Pleural Effusion",1
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",3
"Cardiomegaly, Consolidation, Fracture, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",1
"Cardiomegaly, Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",2
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",2
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia, Pneumothorax",1
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",2
